name	param	value	pct_change	time_min	C_over_C0
kf_m75	kf	0.025	-0.75	146880	0.66455712
kf_m75	kf	0.025	-0.75	148320	0.673414438
kf_m75	kf	0.025	-0.75	149760	0.682119957
kf_m75	kf	0.025	-0.75	151200	0.690672482
kf_m75	kf	0.025	-0.75	152640	0.699071032
kf_m75	kf	0.025	-0.75	154080	0.707314888
kf_m75	kf	0.025	-0.75	155520	0.715403512
kf_m75	kf	0.025	-0.75	156960	0.723336534
kf_m75	kf	0.025	-0.75	158400	0.731113816
kf_m75	kf	0.025	-0.75	159840	0.738735379
kf_m75	kf	0.025	-0.75	161280	0.746201445
kf_m75	kf	0.025	-0.75	162720	0.753512357
kf_m75	kf	0.025	-0.75	164160	0.760668646
kf_m75	kf	0.025	-0.75	165600	0.767670958
kf_m75	kf	0.025	-0.75	167040	0.77452008
kf_m75	kf	0.025	-0.75	168480	0.781216936
kf_m75	kf	0.025	-0.75	169920	0.787762594
kf_m75	kf	0.025	-0.75	171360	0.794158272
kf_m75	kf	0.025	-0.75	172800	0.800405252
kf_m75	kf	0.025	-0.75	174240	0.806504916
kf_m75	kf	0.025	-0.75	175680	0.812458756
kf_m75	kf	0.025	-0.75	177120	0.818268337
kf_m75	kf	0.025	-0.75	178560	0.823935326
kf_m75	kf	0.025	-0.75	180000	0.829461474
kf_m75	kf	0.025	-0.75	181440	0.834848564
kf_m75	kf	0.025	-0.75	182880	0.840098472
kf_m75	kf	0.025	-0.75	184320	0.845213135
kf_m75	kf	0.025	-0.75	185760	0.850194535
kf_m75	kf	0.025	-0.75	187200	0.855044698
kf_m75	kf	0.025	-0.75	188640	0.859765672
kf_m75	kf	0.025	-0.75	190080	0.864359578
kf_m75	kf	0.025	-0.75	191520	0.868828594
kf_m75	kf	0.025	-0.75	192960	0.873174916
kf_m75	kf	0.025	-0.75	194400	0.877400712
kf_m75	kf	0.025	-0.75	195840	0.881508177
kf_m75	kf	0.025	-0.75	197280	0.885499588
kf_m75	kf	0.025	-0.75	198720	0.88937719
kf_m75	kf	0.025	-0.75	200160	0.893143225
kf_m75	kf	0.025	-0.75	201600	0.896799941
kf_m75	kf	0.025	-0.75	203040	0.900349602
kf_m75	kf	0.025	-0.75	204480	0.903794486
kf_m75	kf	0.025	-0.75	205920	0.907136836
kf_m75	kf	0.025	-0.75	207360	0.910378905
kf_m75	kf	0.025	-0.75	208800	0.913522918
kf_m75	kf	0.025	-0.75	210240	0.916571094
kf_m75	kf	0.025	-0.75	211680	0.919525701
kf_m75	kf	0.025	-0.75	213120	0.922388945
kf_m75	kf	0.025	-0.75	214560	0.925162969
kf_m75	kf	0.025	-0.75	216000	0.92784996
kf_m75	kf	0.025	-0.75	217440	0.930452035
kf_m75	kf	0.025	-0.75	218880	0.932971332
kf_m75	kf	0.025	-0.75	220320	0.93540993
kf_m75	kf	0.025	-0.75	221760	0.937769893
