BVs	PFBA	PFPeA	PFHxA	PFHpA	PFOA	PFNA	PFDA	PFMOAA	PMPA	GenX	NBP 1	NBP 2-1	NBP 2-2	PFBS	PFHxS	PFOS	4:2 FTS	6:2 FTS	8:2 FTS
INITIAL	0.4373	0.33061	0.33401	0.30125	0.35889	0.25864	0.14112	0.26173	0.18321	0.33103	0.25257	0.28609	0.27616	0.2416	0.33548	0.17808	0.28898	0.30229	0.13617
MIDPOINT	0.45781	0.34512	0.37137	0.33084	0.43469	0.32831	0.21969	0.27328	0.19708	0.36337	0.28725	0.32969	0.31701	0.25774	0.35359	0.2941	0.29561	0.32143	0.17663
2500	0.00225	0.00215	0.03269	0.01223	0.01759	0.00614	0.0074	0.00231			0.00186	0.00423	0.00442	0.00176	0.00231	0.00786		0.00153	0.00729
5000	0.00697	0.00275	0.04323	0.01758	0.03159	0.00862	0.00806	0.00433	0.0009	0.00358	0.00203	0.00427	0.0044	0.00147	0.0017	0.00773	0.00001	0.00162	0.00687
7500	0.0078	0.00309	0.04085	0.01584	0.02672	0.00752	0.00767	0.00839	0.00064	0.00239	0.03627	0.0054	0.0053	0.00295	0.00281	0.00857		0.00165	0.00661
10000	0.00798	0.00177	0.02983	0.0115	0.02259	0.00802	0.00781	0.01447	0.00052		0.0107	0.00429	0.00428	0.00189	0.00166	0.00797		0.00139	0.00727
15000	0.02294	0.0032	0.03834	0.01355	0.02519	0.0085	0.00823	0.04156	0.00376		0.00156	0.00371	0.00388	0.00159	0.00197	0.00775	0.00158	0.00152	0.00683
20000	0.05546	0.00762	0.04287	0.01449	0.0251	0.00894	0.01101	0.07758	0.01174	0.01106	0.00181	0.00397	0.00411	0.00165	0.0019	0.00778	0.00414	0.00151	0.00793
25000	0.08273	0.00824	0.03585	0.01292	0.02159	0.00799	0.00735	0.11107	0.01772		0.00168	0.00401	0.00377	0.00148	0.00197	0.00782	0.00876	0.00187	0.00681
30000	0.1261	0.01458	0.04889	0.016	0.02618	0.00804	0.00794	0.14811	0.02969	0.00655	0.00159	0.00381	0.00404	0.00152	0.00182	0.00796	0.01395	0.00174	0.00672
35000	0.16355	0.01971	0.04378	0.01441	0.02375	0.00805	0.00778	0.18167	0.04127	0.00604	0.00204	0.0039	0.00389	0.00161	0.00178	0.00777	0.02102	0.00196	
40000	0.19952	0.02642	0.04407	0.01778	0.02861	0.00896	0.00916	0.22006	0.0555	0.00308	0.00197	0.00396	0.0039	0.00176	0.00186	0.00787	0.03416	0.00272	0.007
50000	0.27454	0.04779	0.03773	0.01335	0.02038	0.00727	0.00762	0.27195	0.08128	0.00375	0.00341	0.00373	0.00382	0.00152	0.00201	0.00799	0.05769	0.00361	0.00692
60000	0.36598	0.07463	0.04664	0.0157	0.02279	0.00864	0.00763	0.32399	0.11432	0.01393	0.00276	0.00384	0.00415	0.0016	0.00178	0.00791	0.08918	0.00496	0.00754
70000	0.43658	0.10482	0.05122	0.01606	0.02029	0.00812	0.00735	0.33048	0.13813	0.01487	0.00217	0.00365	0.00391	0.0014	0.00144	0.00796	0.10924	0.00671	0.00715
80000	0.49704	0.13759	0.07209	0.02122	0.02496	0.00902	0.00756	0.31708	0.16653	0.0413	0.00218	0.00367	0.00395	0.0016	0.00195	0.00768	0.15329	0.00796	0.00781
90000	0.50405	0.15726	0.06685	0.0199	0.02566	0.00923	0.00796	0.29868	0.18214	0.03806	0.00249	0.00372	0.00392	0.00162	0.00276	0.00784	0.16536	0.01131	0.00751
100000	0.48694	0.18108	0.08139	0.0218	0.026	0.00977	0.00706	0.27448	0.19161	0.06671	0.0073	0.00601	0.00571	0.01778	0.00338	0.00803	0.19285	0.01728	0.0088
110000	0.50007	0.20781	0.08787	0.02264	0.02154	0.00931	0.00849	0.26949	0.20287	0.06063	0.003	0.00377	0.00393	0.00241	0.00202	0.00768	0.19914	0.01693	0.00798
120000	0.50812	0.24765	0.10708	0.02799	0.0186	0.0058	0.00712	0.28566	0.22341	0.0925	0.00221	0.0037	0.0037	0.00201	0.00187	0.00799	0.23721	0.01691	0.00719
130000	0.51057	0.28718	0.12689	0.03469	0.03231	0.01024	0.00889	0.28521	0.23213	0.09363	0.00255	0.00391	0.00388	0.00213	0.00223	0.008	0.28332	0.02776	0.00845
150000	0.50302	0.35305	0.17665	0.04927	0.03569	0.0106	0.00784	0.28526	0.22993	0.15061	0.00321	0.00412	0.00422	0.0027	0.00234	0.00786	0.33959	0.04188	0.00845
170000	0.4955	0.3992	0.20235	0.05217	0.03261	0.01143	0.00858	0.28838	0.22875	0.17906	0.00311	0.00457	0.00462	0.00364	0.00248	0.00871	0.36857	0.0532	0.01197
190000	0.48153	0.44989	0.25161	0.07046	0.03993	0.01293	0.00874	0.28056	0.21853	0.23268	0.00354	0.00446	0.00458	0.00449	0.00276	0.00809	0.39583	0.07121	0.01035
210000	0.47011	0.46282	0.28668	0.0832	0.04471	0.01478	0.01024	0.27848	0.21183	0.25739	0.00739	0.00469	0.00481	0.00533	0.00299	0.00786	0.37831	0.08566	0.01003
230000	0.46909	0.46013	0.33992	0.106	0.05067	0.01632	0.01025	0.27574	0.20992	0.31225	0.00458	0.00501	0.00496	0.00691	0.00269	0.008	0.3802	0.1039	0.01247
250000	0.4624	0.43406	0.37035	0.11762	0.0534	0.01657	0.0112	0.27711	0.20515	0.35339	0.00419	0.00517	0.00518	0.00868	0.00344	0.00811	0.35536	0.12974	0.015
