name	param	value	pct_change	time_min	C_over_C0
particle_porosity_p50	particle_porosity	0.75	0.5	116640	0.460411296
particle_porosity_p50	particle_porosity	0.75	0.5	118080	0.471111688
particle_porosity_p50	particle_porosity	0.75	0.5	119520	0.481737925
particle_porosity_p50	particle_porosity	0.75	0.5	120960	0.492284471
particle_porosity_p50	particle_porosity	0.75	0.5	122400	0.502745915
particle_porosity_p50	particle_porosity	0.75	0.5	123840	0.513117252
particle_porosity_p50	particle_porosity	0.75	0.5	125280	0.523393723
particle_porosity_p50	particle_porosity	0.75	0.5	126720	0.533570909
particle_porosity_p50	particle_porosity	0.75	0.5	128160	0.543644514
particle_porosity_p50	particle_porosity	0.75	0.5	129600	0.553610687
particle_porosity_p50	particle_porosity	0.75	0.5	131040	0.563465698
particle_porosity_p50	particle_porosity	0.75	0.5	132480	0.573206072
particle_porosity_p50	particle_porosity	0.75	0.5	133920	0.582828743
particle_porosity_p50	particle_porosity	0.75	0.5	135360	0.592330649
particle_porosity_p50	particle_porosity	0.75	0.5	136800	0.601709195
particle_porosity_p50	particle_porosity	0.75	0.5	138240	0.610961889
particle_porosity_p50	particle_porosity	0.75	0.5	139680	0.620086385
particle_porosity_p50	particle_porosity	0.75	0.5	141120	0.62908073
particle_porosity_p50	particle_porosity	0.75	0.5	142560	0.637943174
particle_porosity_p50	particle_porosity	0.75	0.5	144000	0.646672017
particle_porosity_p50	particle_porosity	0.75	0.5	145440	0.655265909
particle_porosity_p50	particle_porosity	0.75	0.5	146880	0.663723626
particle_porosity_p50	particle_porosity	0.75	0.5	148320	0.67204412
particle_porosity_p50	particle_porosity	0.75	0.5	149760	0.680226531
particle_porosity_p50	particle_porosity	0.75	0.5	151200	0.688270214
particle_porosity_p50	particle_porosity	0.75	0.5	152640	0.696174671
particle_porosity_p50	particle_porosity	0.75	0.5	154080	0.703939496
particle_porosity_p50	particle_porosity	0.75	0.5	155520	0.711564519
particle_porosity_p50	particle_porosity	0.75	0.5	156960	0.719049759
particle_porosity_p50	particle_porosity	0.75	0.5	158400	0.72639525
particle_porosity_p50	particle_porosity	0.75	0.5	159840	0.733601151
particle_porosity_p50	particle_porosity	0.75	0.5	161280	0.740667897
particle_porosity_p50	particle_porosity	0.75	0.5	162720	0.747595918
particle_porosity_p50	particle_porosity	0.75	0.5	164160	0.754385815
particle_porosity_p50	particle_porosity	0.75	0.5	165600	0.761038267
particle_porosity_p50	particle_porosity	0.75	0.5	167040	0.767554086
particle_porosity_p50	particle_porosity	0.75	0.5	168480	0.773934178
particle_porosity_p50	particle_porosity	0.75	0.5	169920	0.780179501
particle_porosity_p50	particle_porosity	0.75	0.5	171360	0.786291103
particle_porosity_p50	particle_porosity	0.75	0.5	172800	0.792270203
particle_porosity_p50	particle_porosity	0.75	0.5	174240	0.798117991
particle_porosity_p50	particle_porosity	0.75	0.5	175680	0.803835744
particle_porosity_p50	particle_porosity	0.75	0.5	177120	0.809424911
particle_porosity_p50	particle_porosity	0.75	0.5	178560	0.814886851
particle_porosity_p50	particle_porosity	0.75	0.5	180000	0.820223036
particle_porosity_p50	particle_porosity	0.75	0.5	181440	0.825435035
particle_porosity_p50	particle_porosity	0.75	0.5	182880	0.830524413
particle_porosity_p50	particle_porosity	0.75	0.5	184320	0.835492815
particle_porosity_p50	particle_porosity	0.75	0.5	185760	0.840341878
particle_porosity_p50	particle_porosity	0.75	0.5	187200	0.845073305
particle_porosity_p50	particle_porosity	0.75	0.5	188640	0.849688844
particle_porosity_p50	particle_porosity	0.75	0.5	190080	0.854190238
particle_porosity_p50	particle_porosity	0.75	0.5	191520	0.85857929
particle_porosity_p50	particle_porosity	0.75	0.5	192960	0.862857797
particle_porosity_p50	particle_porosity	0.75	0.5	194400	0.867027581
particle_porosity_p50	particle_porosity	0.75	0.5	195840	0.871090506
particle_porosity_p50	particle_porosity	0.75	0.5	197280	0.875048395
particle_porosity_p50	particle_porosity	0.75	0.5	198720	0.878903103
particle_porosity_p50	particle_porosity	0.75	0.5	200160	0.882656544
particle_porosity_p50	particle_porosity	0.75	0.5	201600	0.886310573
particle_porosity_p50	particle_porosity	0.75	0.5	203040	0.889867061
particle_porosity_p50	particle_porosity	0.75	0.5	204480	0.893327909
particle_porosity_p50	particle_porosity	0.75	0.5	205920	0.896694955
particle_porosity_p50	particle_porosity	0.75	0.5	207360	0.899970104
